Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
884 Lampson Street,V9A 6B5,Esquimalt,"December 4, 2023",,No,119,,5,Yes,Yes,"Desjardins,Armour,Boardman,Cavens,Helliwell,Morrison,Rotchford",,
1039 & 1043 Meares Street,V8V 3J7,Victoria,"November 23, 2023",,Yes,50,0,0,,Yes,"Alto,Caradonna,Dell,Gardiner,Hammond,Loughton,Thompson",,"Coleman, Kim absent"
623/625 Avalon Road,V8V 1N8,Victoria,"November 9, 2023",,Yes,1,0,0,,Yes,"Alto,Caradonna,Coleman,Gardiner,Hammond,Loughton,Thompson,Kim",,"Dell Absent, Garden Suite"
419 and 421 Stannard Avenue,V8S 3M6,Victoria,"October 12, 2023",,Yes,1,0,0,,Yes,"Alto,Caradonna,Coleman,Dell,Gardiner,Hammond,Loughton,Kim,Thompson",,Garden Suite
2848 and 2852 Shelbourne Street,V8R 4M4,Victoria,"October 12, 2023",,No,7,0,1,,Yes,"Alto,Caradonna,Coleman,Dell,Gardiner,Hammond,Loughton,Kim,Thompson",,
2326 Oak Bay Avenue,,Oak Bay,"October 10, 2023",,No,15,0,1,No,Yes,"Murdoch,Appleton,Braithwaite,Green,Paterson,Smart,Watson",,"approved, but not at public hearing"
1905 Lee Ave,V8R 4W9,Victoria,"September 28, 2023",,No,1,,,,Yes,"Alto,Dell,Caradonna,Kim,Thompson,Coleman,Gardiner,Hammond",,Loughton absent
1516 Camosen St & 1270 and 1286 Pandora Ave,V8V 3R4,Victoria,"September 28, 2023",,No,46,3,3,,Yes,"Alto,Dell,Caradonna,Kim,Thompson,Coleman,Gardiner,Hammond",,Loughton absent
734 Sea Terrace,V9A 3R6,Esquimalt,"September 11, 2023",,No,17,,1,Yes,Yes,"Desjardins,Armour,Boardman,Cavens,Helliwell","Rotchford,Morrison",
4201 Tyndall,V8N 3R9,Saanich,"August 15, 2023",,No,58,0,0,,Yes,"Phelps Bondaroff,de Vries,Harper,Brice,Murdock,Chambers,Brownoff,Plant",,Mena Westhaver absent
"820 Esquimalt Rd, 833 & 873 Old Esquimalt Rd",V9A 3M4,Esquimalt,"July 17, 2023",,Yes,135,,2,,Yes,"Desjardins,Boardman,Cavens,Helliwell,Morrison,Rotchford",,
"820 Esquimalt Road, 833 & 837 Old Esquimalt Road",V9A 3M4,Esquimalt,"July 17, 2023",,Yes,135,0,2,Yes,Yes,"Desjardins,Cavens,Helliwell,Armour,Rotchford,Boardman,Morrison",,2 live-work units
1768 Chandler Ave, V8S 1N6,Victoria,"June 22, 2023",,No,2,,1,,Yes,"Alto,Dell,Caradonna,Kim,Loughton,Thompson,Coleman,Gardiner,Hammond",,
1046 & 1048 North Park Street,V8T 1C6,Victoria,"June 22, 2023",,Yes,39,,1,,Yes,"Alto,Dell,Caradonna,Kim,Loughton,Thompson,Coleman,Gardiner,Hammond",,Supportive Housing
3405 Shelbourne Street,"V8P 4G1",Saanich,"June 20, 2023",,No,95,,4,Yes,Yes,"de Vries,Murdock,Phelps Bondaroff,Brice,Brownoff,Harper,Plant,Westhaver",Chambers,
